pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-06-11,96.1,-1.57,5.77,"Kittredge, Andrew",668227,552640,field_out,hit_into_play,,,,,5,"Randy Arozarena grounds out, shortstop Gunnar Henderson to first baseman Pete Alonso.",R,R,R,BAL,SEA,X,6,ground_ball,0,0,2026,-1.34,0.73,-0.183110083632169,2.2187570883370022,677594,,,2,9,Top,104.18,151.18,,,,,6.737597659978688,-139.7006413142227,-5.260233690791186,-19.09150486542343,31.773269600464896,-21.62848940256202,3.127854331,1.578543307,4,92.2,-31,96.2,2370,6.4,824827,694212,624413,702616,677942,683002,621493,681297,665750,54.09,0.07,0.068,0.0,1,0,0,2,74,1,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,219,0.04,-0.297,72.8,7.2,,0.083,0.297,92.2,2,-2,0.96,0.04,36,31,36,31,1,4,2,1,1,1,1.75,1.34,1.34,32.9,8.383869612359296,14.461176072027058,30.24976874782571,32.07149999121328,26.544791665761327
SI,2026-06-11,96.5,-1.61,5.78,"Kittredge, Andrew",647304,552640,field_out,hit_into_play,,,,,13,"Josh Naylor grounds out, shortstop Gunnar Henderson to first baseman Pete Alonso. Julio Rodríguez to 3rd.",R,L,R,BAL,SEA,X,6,ground_ball,0,0,2026,-1.33,0.99,-0.9987617122855336,2.1560703357275437,,677594,,1,9,Top,109.75,151.68,,,,,4.691701898057787,-140.51254795409477,-6.204330175064434,-18.67436449033014,29.99063271201484,-17.87940446977403,3.110301837,1.569685039,11,78.1,-11,97.2,2386,6.5,824827,694212,624413,702616,677942,683002,621493,681297,665750,53.98,0.072,0.065,0.0,1,0,0,2,73,1,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,220,0.059,-0.246,72.5,7.1,,0.083,0.246,88.0,2,-2,0.901,0.0989999999999999,36,29,36,29,1,4,2,1,1,1,1.44,1.33,-1.33,36.7,-1.537204411816782,8.567299157103928,31.736387083705377,43.67419671282816,15.973050398687054
SI,2026-06-11,96.1,-1.45,5.72,"Kittredge, Andrew",677594,552640,field_error,hit_into_play,,,,,13,Julio Rodríguez reaches on a fielding error by third baseman Blaze Alexander. Julio Rodríguez to 2nd.,R,R,R,BAL,SEA,X,5,ground_ball,0,1,2026,-1.47,0.87,-0.7234143045704864,1.2909817645762556,,,,1,9,Top,100.12,164.86,,,,,5.314243783959623,-139.5964246830877,-7.876766375513061,-20.409977863477955,32.70588752472442,-19.17657837074482,3.377977362,1.704773622,4,97.2,-20,96.2,2354,6.5,824827,694212,624413,702616,677942,683002,621493,681297,665750,53.98,0.173,0.156,0.9,1,0,0,2,72,2,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,220,-0.066,0.511,,,,0.19,-0.511,97.2,2,-2,0.967,0.033,36,25,36,26,1,4,2,1,1,1,1.61,1.47,1.47,35.3,,,,,
SL,2026-06-11,89.7,-1.5,5.96,"Kittredge, Andrew",677594,552640,,called_strike,,,,,6,,R,R,R,BAL,SEA,S,,,0,0,2026,0.38,0.43,0.3121110550035629,2.7391427385356355,,,,1,9,Top,,,,,,,3.6033984685985176,-130.71305014733014,-2.7585673434737523,3.756728794436568,24.977266070251076,-26.8845278082368,3.377977362,1.704773622,,,,90.3,2730,6.3,824827,694212,624413,702616,677942,683002,621493,681297,665750,54.15,,,,,,,,72,1,Slider,7,5,5,7,5,7,5,7,Standard,Standard,162,0.004,-0.043,,,,,0.043,,2,-2,0.963,0.037,36,25,36,26,1,4,2,1,1,1,2.37,-0.38,-0.38,39.7,,,,,
SI,2026-06-11,96.8,-1.61,5.82,"Kittredge, Andrew",702284,552640,field_out,hit_into_play,,,,,5,"Cole Young grounds out, second baseman Jackson Holliday to first baseman Pete Alonso.",R,L,R,BAL,SEA,X,4,ground_ball,0,1,2026,-1.41,0.89,-0.1794463480836923,2.2143779254532,,,,0,9,Top,146.07,136.25,,,,,7.049258871222598,-140.67630253422968,-5.912871532640712,-20.2696334904224,31.74263043455268,-19.150969224693256,3.133120079,1.581200787,84,109.4,3,97.0,2340,6.5,824827,694212,624413,702616,677942,683002,621493,681297,665750,54.03,0.531,0.489,0.0,1,0,0,4,71,2,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,220,0.033,-0.222,75.4,7.0,,0.577,0.222,109.4,2,-2,0.93,0.0699999999999999,36,22,36,23,1,4,2,1,1,1,1.54,1.41,-1.41,36.0,6.38714020726965,-0.4284439723658012,28.52423532841454,32.928339829461315,29.331263977720823
SL,2026-06-11,90.0,-1.61,5.95,"Kittredge, Andrew",702284,552640,,called_strike,,,,,4,,R,L,R,BAL,SEA,S,,,0,0,2026,0.47,0.25,-0.4683300448960636,2.5173194247039627,,,,0,9,Top,,,,,,,1.789461979458654,-131.15699751586942,-2.922999602712092,5.041181526559803,25.934326451801468,-28.92492942410979,3.133120079,1.581200787,,,,90.4,2574,6.3,824827,694212,624413,702616,677942,683002,621493,681297,665750,54.19,,,,,,,,71,1,Slider,7,5,5,7,5,7,5,7,Standard,Standard,159,0.006,-0.043,,,,,0.043,,2,-2,0.924,0.0759999999999999,36,22,36,23,1,4,2,1,1,1,2.54,-0.47,0.47,38.4,,,,,
SL,2026-06-11,88.4,-1.64,5.77,"Davila, Nick",681297,689546,strikeout,swinging_strike,,,,,14,Colton Cowser strikes out swinging.,R,L,R,BAL,SEA,S,2,,1,2,2026,-0.04,-0.07,0.6083784271902222,1.2603828263520036,,,,2,8,Bot,,,,,,,5.4631866366229325,-128.63960749200302,-4.519558664234488,-1.5498282625432651,26.73912419343385,-32.17061764451862,3.328830381,1.679970472,,,,88.2,1972,6.1,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.36,,0.0,0.0,1,0,0,,70,5,Slider,7,5,7,5,5,7,7,5,Infield shade,Standard,19,-0.002,-0.176,80.3,8.3,1.751894844,,0.176,,2,2,0.926,0.926,27,26,28,26,1,3,2,1,3,1,2.98,0.04,-0.04,27.6,28.264872841582267,-23.31427190775536,42.81344515780734,30.07485348885688,51.30479974870697
FF,2026-06-11,94.6,-1.61,5.84,"Davila, Nick",681297,689546,,foul,,,,,11,,R,L,R,BAL,SEA,S,,,1,2,2026,-1.27,0.93,-1.256979078341166,2.854280361806224,,,,2,8,Bot,,,,,,,3.753532667802965,-137.72270084845985,-3.958107382383136,-16.959156021247843,33.058454749529695,-19.65816025531224,3.328830381,1.679970472,172,75.0,64,93.7,2102,5.9,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.56,,,,,,,,70,4,4-Seam Fastball,7,5,7,5,5,7,7,5,Infield shade,Standard,238,0.0,0.0,75.6,7.1,,,0.0,88.0,2,2,0.926,0.926,27,26,28,26,1,3,2,1,3,1,1.63,1.27,-1.27,27.3,10.01632653708801,10.734035485215108,30.337769608375293,49.3577613513885,30.18946511761567
FF,2026-06-11,94.6,-1.52,5.85,"Davila, Nick",681297,689546,,called_strike,,,,,7,,R,L,R,BAL,SEA,S,,,1,1,2026,-1.4,0.87,-0.7682602180675935,1.864883068248812,,,,2,8,Bot,,,,,,,5.084138318038596,-137.56663848748312,-6.400281593229428,-18.88425297835194,31.13477284315641,-19.86717003757644,3.328830381,1.679970472,,,,94.1,2117,6.0,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.45,,,,,,,,70,3,4-Seam Fastball,7,5,7,5,5,7,7,5,Standard,Standard,237,-0.001,-0.07,,,,,0.07,,2,2,0.927,0.927,27,26,28,26,1,3,2,1,3,1,1.68,1.4,-1.4,27.0,,,,,
SI,2026-06-11,94.4,-1.8,5.51,"Davila, Nick",681297,689546,,swinging_strike,,,,,8,,R,L,R,BAL,SEA,S,,,1,0,2026,-1.51,0.59,-0.2603972085480581,2.093100037851092,,,,2,8,Bot,,,,,,,7.321296629519024,-137.24238799868465,-4.248930593156364,-20.71314361265437,32.718409669139284,-23.960017580026328,3.328830381,1.679970472,,,,93.5,2045,6.0,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.5,,,,,,,,70,2,Sinker,7,5,7,5,5,7,7,5,Standard,Standard,239,0.0,-0.053,79.8,8.3,0.57795846,,0.053,,2,2,0.927,0.927,27,26,28,26,1,3,2,1,3,1,1.99,1.51,-1.51,21.1,32.254542515573455,-24.212297235968297,41.37306657577957,37.4293909711065,44.89107243574612
SI,2026-06-11,94.4,-1.73,5.56,"Davila, Nick",681297,689546,,ball,,,,,13,,R,L,R,BAL,SEA,B,,,0,0,2026,-1.37,0.35,-0.9224771372613328,1.821845440583873,,,,2,8,Bot,,,,,,,5.133327352246303,-137.29686985758323,-4.548123058033211,-18.467671706288648,31.42971256062801,-26.904308142090297,3.328830381,1.679970472,,,,93.6,1957,5.9,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.58,,,,,,,,70,1,Sinker,7,5,7,5,5,7,7,5,Standard,Standard,241,0.0,0.041,,,,,-0.041,,2,2,0.927,0.927,27,26,28,26,1,3,2,1,3,1,2.22,1.37,-1.37,21.5,,,,,
SL,2026-06-11,88.0,-1.56,5.78,"Davila, Nick",665750,689546,field_out,hit_into_play,,,,,8,Leody Taveras pops out to shortstop Colt Emerson.,R,L,R,BAL,SEA,X,6,popup,2,2,2026,-0.03,-0.4,0.1454139119569419,1.7539053171148289,,,,1,8,Bot,110.23,138.35,,,,,4.121756371732979,-128.17035016521706,-2.6173980464436406,-1.1354071766018046,25.554287776339887,-36.28047676689989,3.286704396,1.65871063,160,84.8,65,87.8,2087,6.0,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.46,0.009,0.012,0.0,1,0,0,3,69,5,Slider,7,5,7,5,5,7,7,5,Infield shade,Standard,37,-0.004,-0.237,74.6,8.4,,0.015,0.237,88.0,2,2,0.931,0.931,27,27,28,28,1,3,2,1,3,2,3.33,0.03,-0.03,28.7,16.252435648426577,-19.62135965237005,36.15469135020101,32.98192697115449,39.25904290748767
SL,2026-06-11,86.6,-1.77,5.74,"Davila, Nick",665750,689546,,ball,,,,,13,,R,L,R,BAL,SEA,B,,,1,2,2026,0.32,-0.54,-1.407626893632463,2.0045101181700846,,,,1,8,Bot,,,,,,,0.1803329041930533,-126.28242028614378,-1.4359134215514022,3.403790358159199,23.912054419149,-37.91659296122327,3.286704396,1.65871063,,,,86.4,2067,5.9,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.63,,,,,,,,69,4,Slider,7,5,7,5,5,7,7,5,Infield shade,Standard,46,0.001,0.055,,,,,-0.055,,2,2,0.93,0.93,27,27,28,28,1,3,2,1,3,2,3.55,-0.32,0.32,26.4,,,,,
SL,2026-06-11,87.0,-1.63,5.83,"Davila, Nick",665750,689546,,foul,,,,,3,,R,L,R,BAL,SEA,S,,,1,1,2026,0.09,-0.2,0.310861434399297,2.852804195361569,,,,1,8,Bot,,,,,,,4.377540174050734,-126.78293962730064,-0.4384003253139595,0.2487148747852269,22.402650660628986,-34.498762131031434,3.286704396,1.65871063,,,,87.2,2196,6.0,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.49,,,,,,,,69,3,Slider,7,5,7,5,5,7,7,5,Standard,Standard,53,-0.002,-0.074,76.5,7.2,,,0.074,,2,2,0.932,0.932,27,27,28,28,1,3,2,1,3,2,3.17,-0.09,0.09,28.4,10.609581072048254,-3.525647906792166,34.55131243423469,31.629008302804884,31.548723493578358
FF,2026-06-11,94.8,-1.65,5.85,"Davila, Nick",665750,689546,,ball,,,,,11,,R,L,R,BAL,SEA,B,,,0,1,2026,-1.12,0.73,-1.0615049035686537,2.6829249827049737,,,,1,8,Bot,,,,,,,4.0306970378136535,-138.03830398573362,-4.029656535916244,-15.232074845629691,31.75818158005824,-22.12929433745467,3.286704396,1.65871063,,,,94.1,1909,5.9,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.6,,,,,,,,69,2,4-Seam Fastball,7,5,7,5,5,7,7,5,Standard,Standard,246,0.001,0.035,,,,,-0.035,,2,2,0.931,0.931,27,27,28,28,1,3,2,1,3,2,1.81,1.12,-1.12,25.9,,,,,
SI,2026-06-11,93.3,-1.8,5.59,"Davila, Nick",665750,689546,,foul_bunt,,,,,6,,R,L,R,BAL,SEA,S,,,0,0,2026,-1.31,0.14,0.3561025393467056,2.6045792185859336,,,,1,8,Bot,,,,,,,8.330958487564763,-135.59364961810329,-2.012558739763265,-17.982689110629206,30.05579278148431,-30.21085665116144,3.286704396,1.65871063,,,,92.6,1959,6.0,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.55,,,,,,,,69,1,Sinker,7,5,7,5,5,7,7,5,Standard,Standard,239,-0.001,-0.043,6.7,1.1,,,0.043,88.0,2,2,0.932,0.932,27,27,28,28,1,3,2,1,3,2,2.49,1.31,-1.31,20.7,-1.158367257945799,-167.6885215432652,68.96490522844641,33.193270195847006,28.157992217725894
SL,2026-06-11,87.1,-1.66,5.79,"Davila, Nick",694212,689546,field_out,hit_into_play,,,,,8,Samuel Basallo flies out sharply to right fielder Luke Raley.,R,L,R,BAL,SEA,X,9,fly_ball,2,2,2026,0.23,-0.56,0.1147107131342055,2.041107223250622,,,,0,8,Bot,202.67,109.5,,,,,3.70289623777802,-126.81093895785273,-1.4625582066058989,1.7818785411323916,25.237208910229214,-38.17486386356045,3.393774606,1.712746063,290,101.5,52,86.6,2153,5.9,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.59,0.017,0.023,0.0,1,0,0,3,68,6,Slider,7,5,7,5,5,7,7,5,Infield shade,Standard,48,-0.005,-0.238,80.6,8.3,,0.036,0.238,101.5,2,2,0.937,0.937,27,21,28,22,1,3,2,2,3,1,3.56,-0.23,0.23,27.5,20.473038062237624,-22.767721334147225,39.55055031092013,28.244613245194248,47.63917596660801
SL,2026-06-11,87.0,-1.56,5.8,"Davila, Nick",694212,689546,,foul,,,,,9,,R,L,R,BAL,SEA,S,,,2,2,2026,0.19,-0.44,0.7919895923552028,1.7769155501294422,,,,0,8,Bot,,,,,,,5.138134209657823,-126.75052930741492,-2.360609553487529,1.0459050253342574,24.218140769170446,-36.69512550882684,3.393774606,1.712746063,,,,86.7,2138,5.9,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.62,,,,,,,,68,5,Slider,7,5,7,5,5,7,7,5,Infield shade,Standard,39,0.0,0.0,76.0,8.6,,,0.0,,2,2,0.937,0.937,27,21,28,22,1,3,2,2,3,1,3.43,-0.19,0.19,28.6,30.67474373646648,-31.109590915736863,40.07770408495467,20.88542839509968,48.41326994148798
FF,2026-06-11,94.7,-1.52,5.85,"Davila, Nick",694212,689546,,foul,,,,,13,,R,L,R,BAL,SEA,S,,,2,1,2026,-1.19,0.8,-1.1789913093134587,2.2301912666778936,,,,0,8,Bot,,,,,,,3.552629012797147,-137.75580948098266,-5.284605551939918,-15.915323835677926,33.36133286460459,-20.977660328032577,3.393774606,1.712746063,208,88.3,61,93.8,2001,6.0,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.55,,,,,,,,68,4,4-Seam Fastball,7,5,7,5,5,7,7,5,Infield shade,Standard,239,-0.002,-0.078,74.0,8.0,,,0.078,88.3,2,2,0.939,0.939,27,21,28,22,1,3,2,2,3,1,1.76,1.19,-1.19,29.2,6.023465237238411,-5.162421586428645,35.74219437480155,43.6963250390116,30.55127829392655
SI,2026-06-11,94.4,-1.79,5.56,"Davila, Nick",694212,689546,,foul,,,,,13,,R,L,R,BAL,SEA,S,,,2,0,2026,-1.58,0.56,-0.4646643512316804,1.551099766034517,,,,0,8,Bot,,,,,,,6.913489359286903,-137.23705202134153,-5.734819853674158,-21.45424567936837,29.71627384214643,-24.0528902727824,3.393774606,1.712746063,163,75.2,69,93.7,2189,5.9,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.61,,,,,,,,68,3,Sinker,7,5,7,5,5,7,7,5,Infield shade,Standard,241,-0.002,-0.08,80.6,8.1,,,0.08,88.0,2,2,0.941,0.941,27,21,28,22,1,3,2,2,3,1,2.0,1.58,-1.58,20.6,14.466911939769796,-10.677088246873778,40.57936729044445,35.48901926566333,37.479576497825576
SL,2026-06-11,86.1,-1.8,5.87,"Davila, Nick",694212,689546,,ball,,,,,14,,R,L,R,BAL,SEA,B,,,1,0,2026,0.13,-0.54,0.4881771964478895,0.9843248561469884,,,,0,8,Bot,,,,,,,5.04253203389672,-125.36480680103566,-4.000914765002369,0.3981022029390779,23.52453564368789,-37.32909745097891,3.393774606,1.712746063,,,,85.6,2126,5.7,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.75,,,,,,,,68,2,Slider,7,5,7,5,5,7,7,5,Standard,Standard,37,0.002,0.085,,,,,-0.085,,2,2,0.939,0.939,27,21,28,22,1,3,2,2,3,1,3.59,-0.13,0.13,27.2,,,,,
SL,2026-06-11,85.8,-1.49,6.04,"Davila, Nick",694212,689546,,ball,,,,,12,,R,L,R,BAL,SEA,B,,,0,0,2026,0.23,-0.55,1.0021538943615664,3.4660890304122502,,,,0,8,Bot,,,,,,,5.299454415800623,-124.97343281106076,1.415920814378359,1.4348342807201824,23.13122432089096,-38.47143504959677,3.393774606,1.712746063,,,,85.4,2160,5.8,824827,641598,647304,702284,670156,806068,668227,677594,670042,54.73,,,,,,,,68,1,Slider,7,5,7,5,5,7,7,5,Standard,Standard,45,0.001,0.046,,,,,-0.046,,2,2,0.938,0.938,27,21,28,22,1,3,2,2,3,1,3.62,-0.23,0.23,31.6,,,,,
SI,2026-06-11,96.5,2.02,6.25,"Wolfram, Grant",806068,664991,field_out,hit_into_play,,,,,6,"Colt Emerson grounds out, second baseman Jackson Holliday to first baseman Pete Alonso.",R,L,L,BAL,SEA,X,4,ground_ball,3,2,2026,1.09,1.08,0.3928102825898016,2.133537116852384,,670156,645302,2,8,Top,144.8,156.21,,,,,-6.809846335827891,-140.20066809641844,-7.60061865204347,16.00335894660289,33.30181785123464,-16.372859089551532,3.213861549,1.621948819,17,84.8,-6,96.2,2193,6.3,824827,694212,624413,702616,691723,683002,621493,681297,665750,54.17,0.124,0.112,0.0,1,0,0,2,67,7,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,144,0.082,-0.292,76.6,6.9,,0.157,0.292,88.0,2,-2,0.856,0.144,29,20,30,21,1,3,1,4,5,1,1.39,1.09,1.09,42.3,8.58443799375919,12.817244260836407,29.91020395712371,27.71423927757339,33.05957908012499
FF,2026-06-11,96.6,2.14,6.27,"Wolfram, Grant",806068,664991,,foul,,,,,12,,R,L,L,BAL,SEA,S,,,3,2,2026,0.39,1.28,0.8333420791591366,2.619116276832964,,670156,645302,2,8,Top,,,,,,,-4.32529232597195,-140.58101776614907,-6.878905871211575,6.147752914335616,30.80925887061818,-13.89203662911749,3.213861549,1.621948819,4,70.3,-33,96.4,2352,6.1,824827,694212,624413,702616,691723,683002,621493,681297,665750,54.41,,,,,,,,67,6,4-Seam Fastball,7,5,5,7,5,7,5,7,Standard,Standard,153,0.0,0.0,69.3,7.2,,,0.0,88.0,2,-2,0.856,0.144,29,20,30,21,1,3,1,4,5,1,1.16,0.39,0.39,41.5,19.763183979516597,-10.720876800207032,30.518967059917244,23.274686876050648,35.1030919845755
FF,2026-06-11,96.7,2.0,6.3,"Wolfram, Grant",806068,664991,,foul,,,,,2,,R,L,L,BAL,SEA,S,,,3,1,2026,0.4,1.42,0.1366467593176045,2.7955154643820856,,670156,645302,2,8,Top,,,,,,,-5.828212899150553,-140.62212425425875,-6.822442311424221,6.662618853385384,32.214089028008075,-12.000316887490358,3.213861549,1.621948819,,,,96.5,2353,6.2,824827,694212,624413,702616,691723,683002,621493,681297,665750,54.28,,,,,,,,67,5,4-Seam Fastball,7,5,5,7,5,7,5,7,Standard,Standard,148,0.015,-0.069,72.6,7.5,,,0.069,,2,-2,0.841,0.159,29,20,30,21,1,3,1,4,5,1,1.02,0.4,0.4,44.0,22.646112658790127,-10.999993364068816,24.81411142828769,31.57639315927281,37.03128390912522
SI,2026-06-11,96.2,2.04,6.18,"Wolfram, Grant",806068,664991,,ball,,,,,13,,R,L,L,BAL,SEA,B,,,2,1,2026,0.96,1.19,-1.012714301112308,0.9493606997961838,,670156,645302,2,8,Top,,,,,,,-10.176296734942175,-139.3170701718483,-10.685529272636886,14.770031957492009,31.53647002044652,-14.297976636667316,3.213861549,1.621948819,,,,95.9,2261,6.4,824827,694212,624413,702616,691723,683002,621493,681297,665750,54.12,,,,,,,,67,4,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,140,-0.018,0.061,,,,,-0.061,,2,-2,0.859,0.141,29,20,30,21,1,3,1,4,5,1,1.3,0.96,0.96,41.4,,,,,
SI,2026-06-11,95.9,1.98,6.26,"Wolfram, Grant",806068,664991,,ball,,,,,14,,R,L,L,BAL,SEA,B,,,1,1,2026,1.1,0.96,1.5366574712671213,1.2300629243964143,,670156,645302,2,8,Top,,,,,,,-3.669208508419879,-139.41696955704242,-9.55732939863056,15.109349952413446,32.15575785887026,-17.70938445142247,3.213861549,1.621948819,,,,95.4,2268,6.1,824827,694212,624413,702616,691723,683002,621493,681297,665750,54.37,,,,,,,,67,3,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,153,-0.01,0.027,,,,,-0.027,,2,-2,0.869,0.131,29,20,30,21,1,3,1,4,5,1,1.53,1.1,1.1,46.8,,,,,
SI,2026-06-11,96.1,2.06,6.24,"Wolfram, Grant",806068,664991,,called_strike,,,,,7,,R,L,L,BAL,SEA,S,,,1,0,2026,0.9,1.23,-0.6485120887306554,1.6025347259566296,,670156,645302,2,8,Top,,,,,,,-9.120948220907612,-139.44708838290566,-9.213656928646923,13.779016813389838,32.27041867920624,-14.093575247506338,3.213861549,1.621948819,,,,95.6,2259,6.3,824827,694212,624413,702616,691723,683002,621493,681297,665750,54.25,,,,,,,,67,2,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,142,0.01,-0.042,,,,,0.042,,2,-2,0.859,0.141,29,20,30,21,1,3,1,4,5,1,1.25,0.9,0.9,41.4,,,,,
