date,timestamp,batter_name,pitcher_name,batter,pitcher,game_pk,inning,model_prob,was_predicted,was_top5,actual_hr
2026-07-21,2026-07-21T20:58:58.544487,Ryan Jeffers,Parker Messick,680777,800048.0,824409,top 1,0.1085378342062172,False,False,1
2026-07-21,2026-07-21T20:58:59.318563,Max Muncy,Zack Wheeler,571970,554430.0,823437,top 4,0.1300864649184253,False,False,1
2026-07-21,2026-07-21T20:58:59.963075,Nick Fortes,Lazaro Estrada,663743,592332.0,822787,top 5,0.0462871371634316,False,False,1
2026-07-21,2026-07-21T20:59:00.639413,Jackson Merrill,Reynaldo López,701538,625643.0,824895,top 4,0.0938919618546214,False,False,1
2026-07-21,2026-07-21T20:59:00.986302,Manny Machado,Reynaldo López,592518,625643.0,824895,top 5,0.107148502872208,False,False,1
2026-07-21,2026-07-21T20:59:01.409210,Manny Machado,JR Ritchie,592518,625643.0,824895,top 6,0.107148502872208,False,False,1
2026-07-21,2026-07-21T20:59:02.015756,Carter Jensen,Tyler Mahle,695600,641816.0,824085,bottom 3,0.0826296832801845,False,False,1
2026-07-21,2026-07-21T20:59:02.681770,Jared Young,Brandon Sproat,676724,687075.0,823760,top 2,0.0932065302477959,False,False,1
2026-07-21,2026-07-21T20:59:03.909673,Brandon Nimmo,Noah Schultz,607043,702273.0,822871,bottom 1,0.0973877949790875,False,False,1
2026-07-21,2026-07-21T20:59:05.247643,Jeremy Peña,Tyler Phillips,665161,663969.0,824165,bottom 1,0.1302435254660699,False,False,1
2026-07-21,2026-07-21T20:59:05.908426,CJ Abrams,Michael Lorenzen,682928,547179.0,824329,top 1,0.153412261957358,True,False,1
