pair_leg_1,pair_leg_2,leg1_game_pk,leg2_game_pk,pair_type,leg1_prob,leg2_prob,base_combo_prob,learned_multiplier,combo_prob,leg1_odds_american,leg2_odds_american,parlay_decimal,parlay_ev,training_days_used
Shohei Ohtani,Willson Contreras,823438,824735,cross_game,0.2944514210040754,0.27024604696173193,0.07957433254861607,0.48999999999999994,0.038991422948821866,,,,,1
Shohei Ohtani,Heliot Ramos,823438,824083,cross_game,0.2944514210040754,0.21404111931210262,0.06302471173475147,0.48999999999999994,0.030882108750028215,,,,,1
Shohei Ohtani,Caleb Durbin,823438,824735,cross_game,0.2944514210040754,0.21008315432205307,0.061859283319146995,0.48999999999999994,0.030311048826382022,,,,,1
Shohei Ohtani,Masataka Yoshida,823438,824735,cross_game,0.2944514210040754,0.2044147313646346,0.060190208124482995,0.48999999999999994,0.029493201980996663,,,,,1
Shohei Ohtani,Wyatt Langford,823438,822873,cross_game,0.2944514210040754,0.19788740913346153,0.0582682288181626,0.48999999999999994,0.02855143212089967,,,,,1
Shohei Ohtani,Dillon Dingler,823438,824650,cross_game,0.2944514210040754,0.1969414256652618,0.05798968264170482,0.48999999999999994,0.028414944494435358,,,,,1
Willson Contreras,Heliot Ramos,824735,824083,cross_game,0.27024604696173193,0.21404111931210262,0.05784376638136016,0.48999999999999994,0.028343445526866472,,,,,1
Willson Contreras,Caleb Durbin,824735,824735,same_game,0.27024604696173193,0.21008315432205307,0.05677414198878633,0.48999999999999994,0.027819329574505298,,,,,1
Willson Contreras,Masataka Yoshida,824735,824735,same_game,0.27024604696173193,0.2044147313646346,0.05524227309203686,0.48999999999999994,0.027068713815098056,,,,,1
Shohei Ohtani,Junior Caminero,823438,822784,cross_game,0.2944514210040754,0.18354189987352365,0.05404417323154677,0.48999999999999994,0.026481644883457913,,,,,1
Willson Contreras,Wyatt Langford,824735,822873,cross_game,0.27024604696173193,0.19788740913346153,0.053478290061816904,0.48999999999999994,0.02620436213029028,,,,,1
Willson Contreras,Dillon Dingler,824735,824650,cross_game,0.27024604696173193,0.1969414256652618,0.05322264176904478,0.48999999999999994,0.02607909446683194,,,,,1
Shohei Ohtani,Victor Mesa Jr.,823438,822784,cross_game,0.2944514210040754,0.17618068742880014,0.05187665376688504,0.48999999999999994,0.025419560345773667,,,,,1
Shohei Ohtani,Hunter Goodman,823438,824327,cross_game,0.2944514210040754,0.1739225091478534,0.051211729963179735,0.48999999999999994,0.025093747681958066,,,,,1
Shohei Ohtani,Rafael Flores Jr.,823438,823518,cross_game,0.2944514210040754,0.17380423552442342,0.05117690412669348,0.48999999999999994,0.025076683022079802,,,,,1
Shohei Ohtani,Kyle Schwarber,823438,823438,same_game,0.2944514210040754,0.16927974674858862,0.04984466197733193,0.48999999999999994,0.024423884368892642,,,,,1
Willson Contreras,Junior Caminero,824735,822784,cross_game,0.27024604696173193,0.18354189987352365,0.049601472892665775,0.48999999999999994,0.024304721717406226,,,,,1
Shohei Ohtani,Wilyer Abreu,823438,824735,cross_game,0.2944514210040754,0.16575608240934592,0.04880711400550053,0.48999999999999994,0.023915485862695256,,,,,1
Shohei Ohtani,Christian Encarnacion-Strand,823438,824732,cross_game,0.2944514210040754,0.16565780602458946,0.04877817638435785,0.48999999999999994,0.023901306428335344,,,,,1
Shohei Ohtani,Jazz Chisholm Jr.,823438,823518,cross_game,0.2944514210040754,0.1652568983272693,0.04866012854319046,0.48999999999999994,0.023843462986163324,,,,,1
Shohei Ohtani,Amed Rosario,823438,823518,cross_game,0.2944514210040754,0.16196954244956968,0.047692161933655705,0.48999999999999994,0.023369159347491293,,,,,1
Willson Contreras,Victor Mesa Jr.,824735,822784,cross_game,0.27024604696173193,0.17618068742880014,0.04761213432863374,0.48999999999999994,0.02332994582103053,,,,,1
Shohei Ohtani,Tyrone Taylor,823438,823761,cross_game,0.2944514210040754,0.16103849128821884,0.04741801259616846,0.48999999999999994,0.023234826172122542,,,,,1
Willson Contreras,Hunter Goodman,824735,824327,cross_game,0.27024604696173193,0.1739225091478534,0.04700187057487304,0.48999999999999994,0.023030916581687787,,,,,1
Willson Contreras,Rafael Flores Jr.,824735,823518,cross_game,0.27024604696173193,0.17380423552442342,0.04696990759568125,0.48999999999999994,0.023015254721883812,,,,,1
Willson Contreras,Kyle Schwarber,824735,823438,cross_game,0.27024604696173193,0.16927974674858862,0.04574718238948917,0.48999999999999994,0.02241611937084969,,,,,1
Shohei Ohtani,Heriberto Hernández,823438,824166,cross_game,0.2944514210040754,0.15501281799454286,0.045643744532339256,0.48999999999999994,0.02236543482084623,,,,,1
Shohei Ohtani,Esmerlyn Valdez,823438,823519,cross_game,0.2944514210040754,0.15481230918638839,0.04558470442885434,0.48999999999999994,0.02233650517013862,,,,,1
Shohei Ohtani,Luis Urías,823438,822784,cross_game,0.2944514210040754,0.15401329946383535,0.045349434880652524,0.48999999999999994,0.022221223091519735,,,,,1
Heliot Ramos,Caleb Durbin,824083,824735,cross_game,0.21404111931210262,0.21008315432205307,0.04496643349970943,0.48999999999999994,0.022033552414857615,,,,,1
Willson Contreras,Wilyer Abreu,824735,824735,same_game,0.27024604696173193,0.16575608240934592,0.04479492603098881,0.48999999999999994,0.021949513755184513,,,,,1
Willson Contreras,Christian Encarnacion-Strand,824735,824732,cross_game,0.27024604696173193,0.16565780602458946,0.044768367226498684,0.48999999999999994,0.02193649994098435,,,,,1
Shohei Ohtani,Colton Cowser,823438,824732,cross_game,0.2944514210040754,0.15184330501299864,0.044710476931032694,0.48999999999999994,0.021908133696206016,,,,,1
Shohei Ohtani,Justin Foscue,823438,822873,cross_game,0.2944514210040754,0.15184220764508086,0.044710153809489936,0.48999999999999994,0.021907975366650064,,,,,1
Willson Contreras,Jazz Chisholm Jr.,824735,823518,cross_game,0.27024604696173193,0.1652568983272693,0.04466002350610138,0.48999999999999994,0.021883411517989674,,,,,1
Shohei Ohtani,Max Muncy,823438,825055,cross_game,0.2944514210040754,0.15008930242611201,0.044194008376879104,0.48999999999999994,0.02165506410467076,,,,,1
Willson Contreras,Amed Rosario,824735,823518,cross_game,0.27024604696173193,0.16196954244956968,0.04377162857519664,0.48999999999999994,0.02144809800184635,,,,,1
Heliot Ramos,Masataka Yoshida,824083,824735,cross_game,0.21404111931210262,0.2044147313646346,0.043753157905169156,0.48999999999999994,0.021439047373532884,,,,,1
Shohei Ohtani,Willy Adames,823438,824083,cross_game,0.2944514210040754,0.14811196456769748,0.04361177843466379,0.48999999999999994,0.021369771432985255,,,,,1
